names,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29
gnaph_acol_1529_44,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.020598812,0.000332,0.000292,0.000204,0.000847,0.468802923,0.004249211,0.000312,0.000236,0.000472,0.000882,0.123257954,0.000195,0.000751,0.000544,0.000306,0.368943392
gnaph_acol_1529_45,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.252720542,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.653153205,0.03335715,0.000312,0.000236,0.000472,0.010584796,0.035934136,0.000195,0.000751,0.000544,0.000306,0.000243
gnaph_acol_1529_46,0.000598,0.000269,0.000224,0.000864,0.000565,0.000564,0.58831877,0.000806,0.000354,0.00275856,0.000324,0.000691,0.000387,0.001205212,0.000335,0.000295,0.000206,0.000855,0.365621307,0.004290844,0.000315,0.000238,0.000477,0.000891,0.026488499,0.000197,0.000758,0.000549,0.000309,0.000245
gnaph_acol_1529_47,0.000593,0.000267,0.000222,0.010558069,0.00056,0.000558,0.485584056,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.274749994,0.023654504,0.000312,0.000236,0.000472,0.000882,0.181473833,0.000195,0.010453714,0.000544,0.000306,0.000243
gnaph_acol_1529_48,0.007572175,0.003408273,0.002835496,0.010932115,0.007151817,0.007131753,0.005773073,0.134198254,0.004480104,0.034911738,0.004106397,0.00874968,0.004895025,0.01525291,0.004243515,0.00372795,0.002601035,0.010818947,0.039309264,0.178301714,0.003987929,0.003011657,0.006038428,0.011273678,0.459230471,0.002489723,0.009598486,0.006948381,0.003916735,0.00310328
crocus_ioseph_1535_00,0.068511037,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.000383,0.010896165,0.000332,0.000292,0.000204,0.000847,0.206831469,0.004249211,0.54366025,0.000236,0.000472,0.010584796,0.142663247,0.000195,0.000751,0.000544,0.000306,0.000243
crocus_ioseph_1535_01,0.000593,0.019671985,0.000222,0.029963362,0.00056,0.000558,0.000452,0.000798,0.000351,0.012434441,0.000321,0.010387297,0.000383,0.030301458,0.068250574,0.000292,0.000204,0.000847,0.245642055,0.013951858,0.010014696,0.019640951,0.175120134,0.000882,0.210581772,0.000195,0.146290764,0.000544,0.000306,0.000243
crocus_ioseph_1535_02,0.000593,0.000267,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.029458501,0.022137087,0.000321,0.000685,0.000383,0.010896165,0.174979685,0.000292,0.000204,0.000847,0.381479105,0.013951858,0.194364978,0.068154183,0.000472,0.000882,0.094150015,0.000195,0.000751,0.000544,0.000306,0.000243
crocus_ioseph_1535_03,0.029700451,0.009969339,0.000222,0.000855,0.00056,0.000558,0.000452,0.000798,0.000351,0.002731794,0.000321,0.000685,0.107112139,0.001193519,0.019737342,0.12642611,0.000204,0.000847,0.575532034,0.004249211,0.019717343,0.000236,0.000472,0.000882,0.094150015,0.000195,0.000751,0.000544,0.000306,0.000243
crocus_ioseph_1535_04,0.019997805,0.000267,0.000222,0.020260715,0.00056,0.000558,0.000452,0.117229935,0.000351,0.002731794,0.000321,0.000685,0.000383,0.001193519,0.000332,0.000292,0.000204,0.000847,0.691963791,0.091573029,0.000312,0.000236,0.000472,0.000882,0.016528844,0.000195,0.010453714,0.000544,0.019711772,0.000243
